charger_id,timestamp,voltage,current,temperature,power_kw,session_active,fault_flag,fault_type
CH_39,2024-01-01 00:00:00,442.5424052133365,36.06583813090008,45.49061735615558,15.960662752483387,1,0,Normal
CH_29,2024-01-01 00:15:00,434.5786250218069,36.74300816397034,63.449223877969715,15.967725967063254,1,0,Normal
CH_15,2024-01-01 00:30:00,361.6562818572541,22.596025078852833,35.284658609779484,8.171994414771182,1,0,Normal
CH_43,2024-01-01 00:45:00,421.52819172396505,34.270083173643584,48.649910378938515,14.445806190415862,1,0,Normal
CH_8,2024-01-01 01:00:00,431.6299312905925,40.2087788462532,57.89036613528211,17.3553124506869,1,0,Normal
CH_21,2024-01-01 01:15:00,413.9839802182083,29.862258232371293,52.72754468377792,12.362496521341026,1,0,Normal
CH_39,2024-01-01 01:30:00,391.6146964076452,28.552718143196724,59.41231691140187,11.181664047261048,1,0,Normal
CH_19,2024-01-01 01:45:00,460.3348478779284,29.480819233482084,46.702922052217026,13.57104843716168,1,0,Normal
CH_23,2024-01-01 02:00:00,416.2852320231756,22.970744043025242,49.82762420149678,9.562381513695742,1,0,Normal
CH_11,2024-01-01 02:15:00,449.4136068432057,32.75590372669346,45.87819509432298,14.72094883922211,0,0,Normal
CH_11,2024-01-01 02:30:00,433.78696073683767,32.17979264058351,49.266764473116645,13.959174446700375,1,0,Normal
CH_24,2024-01-01 02:45:00,411.6033665055826,33.18216099726381,37.67834870157262,13.657889174404023,1,0,Normal
CH_36,2024-01-01 03:00:00,385.5074772131593,34.495859727306815,51.33878727154946,13.298411857773072,1,0,Normal
CH_40,2024-01-01 03:15:00,399.39737804618744,27.21203958691114,47.35398650213645,10.868417262301367,1,0,Normal
CH_24,2024-01-01 03:30:00,394.45218868016116,33.63919519413226,45.50127493003638,13.26905416976463,1,0,Normal
CH_3,2024-01-01 03:45:00,369.6370261087683,34.65919195949438,58.971133102526835,12.811320643240435,1,0,Normal
CH_22,2024-01-01 04:00:00,416.2570393739926,29.06964961509781,42.876916807161805,12.100446284419936,1,0,Normal
CH_2,2024-01-01 04:15:00,439.1838250489852,34.520707989511834,54.66257627696346,15.16093657823287,0,0,Normal
CH_24,2024-01-01 04:30:00,392.54241263621384,32.48423975832045,55.45822877679805,12.75144184738433,1,0,Normal
CH_44,2024-01-01 04:45:00,454.09141248061843,28.212861383339717,51.844355076683705,12.811218075680626,1,0,Normal
CH_30,2024-01-01 05:00:00,361.06043035345664,33.69673217890206,37.279202634107364,12.166556622019549,1,0,Normal
CH_38,2024-01-01 05:15:00,426.35908870968007,30.255735539880682,47.87262637874524,12.899807833024608,1,0,Normal
CH_2,2024-01-01 05:30:00,441.78800588513525,36.18239164408632,60.667794409052,15.984946652595877,1,0,Normal
CH_21,2024-01-01 05:45:00,394.89923547547346,30.565001719585773,30.451571722506372,12.070095811370953,1,0,Normal
CH_33,2024-01-01 06:00:00,395.348587371428,24.26140650940964,43.49873204563039,9.591712791139068,1,0,Normal
CH_12,2024-01-01 06:15:00,426.06912939611004,33.6019219131659,54.298468157345596,14.31674161557867,1,0,Normal
CH_22,2024-01-01 06:30:00,412.64977774898836,33.37641948698861,44.0774352016989,13.772772083362854,1,0,Normal
CH_44,2024-01-01 06:45:00,350.0647164135123,25.51317732321403,51.479102535790986,8.931263184458572,1,0,Normal
CH_25,2024-01-01 07:00:00,378.91567113651547,36.503216692611836,56.27352822879298,13.831640851722668,0,0,Normal
CH_49,2024-01-01 07:15:00,399.6612612988135,36.18932501681287,46.85605026519042,14.463471281772138,1,0,Normal
CH_27,2024-01-01 07:30:00,365.7575455078733,26.780118845150547,49.071924166844326,9.795030537211407,1,0,Normal
CH_42,2024-01-01 07:45:00,388.1456420892524,28.042242193640533,45.73496746864161,10.88447410187293,1,0,Normal
CH_28,2024-01-01 08:00:00,366.38286436890166,31.147954321822837,47.38244705576253,11.41207672366116,0,0,Normal
CH_16,2024-01-01 08:15:00,390.7457342361652,27.446887213774172,61.82081947917017,10.724754096843403,1,0,Normal
CH_15,2024-01-01 08:30:00,391.584431816971,35.84238310947006,44.48841205855482,14.035319224888033,1,0,Normal
CH_47,2024-01-01 08:45:00,408.79386691484285,32.89383169596326,42.17476769643535,13.446796656638844,1,0,Normal
CH_44,2024-01-01 09:00:00,397.70601690001246,25.438657124670584,53.3340338321581,10.11710700033786,1,0,Normal
CH_3,2024-01-01 09:15:00,412.5697430260189,27.065174522904258,38.25662134206566,11.166272097868964,1,0,Normal
CH_37,2024-01-01 09:30:00,409.58860018684805,39.12631506299841,40.08222834187808,16.025692617123106,1,0,Normal
CH_7,2024-01-01 09:45:00,425.78349985660776,41.21337426749249,40.13323764837902,17.54797473651321,1,0,Normal
CH_21,2024-01-01 10:00:00,421.8445760240029,35.23237385631505,42.95300382033568,14.862585811736386,1,0,Normal
CH_9,2024-01-01 10:15:00,419.2030958783679,30.732348469098117,43.302404281039536,12.88309562185875,1,0,Normal
CH_39,2024-01-01 10:30:00,477.621685711668,29.36022252556054,50.592796717324056,14.023078975527913,1,0,Normal
CH_18,2024-01-01 10:45:00,408.6850659160582,35.29819650986603,42.26110691793058,14.425845767352573,1,0,Normal
CH_4,2024-01-01 11:00:00,464.83928759647154,32.45552320555692,50.91570775388149,15.08660228544183,1,0,Normal
CH_25,2024-01-01 11:15:00,410.30546005609835,22.33957131551374,51.91344563873426,9.166048086067883,1,0,Normal
CH_14,2024-01-01 11:30:00,397.9287271298527,38.19120789520898,39.771910405335674,15.197378745292092,1,0,Normal
CH_50,2024-01-01 11:45:00,390.6708704446701,40.074819604177215,51.741648149587604,15.65606465767704,1,0,Normal
CH_9,2024-01-01 12:00:00,437.74314496121076,36.423515197659185,52.467347863666305,15.944144093165788,1,0,Normal
CH_26,2024-01-01 12:15:00,441.01258482219845,25.45033283223075,30.91250850695313,11.223917066927346,1,0,Normal
CH_2,2024-01-01 12:30:00,414.9945963991182,28.17904130165996,47.347847622991736,11.694149871896458,1,0,Normal
CH_20,2024-01-01 12:45:00,428.33866936256766,20.853680831853733,40.94873513359269,8.932437898827912,1,0,Normal
CH_28,2024-01-01 13:00:00,368.0694883519229,41.576290948373334,55.42451984265954,15.302964136938456,0,0,Normal
CH_47,2024-01-01 13:15:00,361.28050443719474,29.85956862044583,40.867150517811496,10.787680013471702,1,0,Normal
CH_7,2024-01-01 13:30:00,431.1581721449363,45.99973592989869,34.28413475751464,19.83316206268487,1,1,Overcurrent
CH_44,2024-01-01 13:45:00,396.82971255242444,43.73138018544667,44.761465466649376,17.35391102851159,1,0,Normal
CH_8,2024-01-01 14:00:00,418.73256043493757,26.579441501786338,37.824221567207054,11.129677594973634,1,0,Normal
CH_47,2024-01-01 14:15:00,382.06780125109805,27.75039356358192,51.7966821163031,10.602531852690367,1,0,Normal
CH_35,2024-01-01 14:30:00,441.42471174261937,34.79714205408272,38.5311000089457,15.360318400690444,1,0,Normal
CH_14,2024-01-01 14:45:00,361.4895332027741,21.472747376802378,44.859948406493785,7.762173425821384,0,0,Normal
CH_17,2024-01-01 15:00:00,365.3603728379328,29.37044529572863,57.36648341731331,10.730796843663523,1,0,Normal
CH_36,2024-01-01 15:15:00,436.1077895928086,28.77104599275963,53.78822897771309,12.547277272175435,1,0,Normal
CH_50,2024-01-01 15:30:00,334.7539551754275,43.10699565168025,48.82271362631159,14.430237290129918,1,0,Normal
CH_40,2024-01-01 15:45:00,409.4642217023729,32.96610731302673,43.9793782995818,13.498441473485396,1,0,Normal
CH_4,2024-01-01 16:00:00,397.31685011008557,30.291398134776824,48.063171649688705,12.035282892340048,1,0,Normal
CH_2,2024-01-01 16:15:00,381.6012020199993,28.211091603888192,50.51187162180043,10.765386466340043,1,0,Normal
CH_6,2024-01-01 16:30:00,395.0015037852408,37.36429758394876,37.10718109427609,14.758953733539002,0,0,Normal
CH_42,2024-01-01 16:45:00,378.8119126727548,29.01973505641755,51.810697951390715,10.993021341978125,1,0,Normal
CH_4,2024-01-01 17:00:00,438.5563986512125,31.698302153825,36.186447579543355,13.901493235939464,1,0,Normal
CH_29,2024-01-01 17:15:00,445.1124272090402,28.165258865168212,49.57961548009821,12.53670673644596,1,0,Normal
CH_18,2024-01-01 17:30:00,382.85656033029136,22.894777207907634,36.14487676360287,8.765415651347869,1,0,Normal
CH_26,2024-01-01 17:45:00,406.8881219367133,26.023789233784015,60.702369946964915,10.588770727011237,1,0,Normal
CH_44,2024-01-01 18:00:00,366.87308822659884,28.98816975581184,51.10673299949631,10.634979360351581,1,0,Normal
CH_34,2024-01-01 18:15:00,426.8263039750782,30.420471018418226,32.551797769712365,12.984257209972435,1,0,Normal
CH_10,2024-01-01 18:30:00,426.1752293660829,30.683456444458958,44.99258699015878,13.076529087961509,1,0,Normal
CH_36,2024-01-01 18:45:00,392.61844418230777,31.46648179688743,40.828623647322914,12.35432112698485,0,0,Normal
CH_14,2024-01-01 19:00:00,400.4221264604974,29.067874219093945,39.882184561749085,11.639420006495868,1,0,Normal
