vehicle_id,trip_distance_km,avg_speed_kmph,elevation_gain_m,traffic_level,hvac_usage,base_energy_kwh,energy_consumed_kwh,efficiency_km_per_kwh,efficiency_label
EV_32,170.94019390402843,37.80900610877812,820.0358282594569,Low,0,23.914105730650466,30.450913563956526,5.613631050674394,Average
EV_12,161.68444755043814,74.07191918555696,179.16666325142478,High,0,27.47542006448022,37.26888086520526,4.3383231209764865,Average
EV_18,51.98133563578799,55.413620586233236,768.296770096032,Low,1,8.505744154986466,12.60718616908949,4.123151267745748,Average
EV_7,144.96221510686388,92.4304453279319,379.9826281774958,High,0,28.043275585705118,40.44193464186768,3.5844530285351666,Poor
EV_24,149.82397339975947,36.260452930842675,157.8603118735192,Medium,0,24.255030556905204,28.595092720667356,5.2394994785756674,Average
EV_12,87.8224957889564,49.88270626048678,30.567821924014062,High,0,16.181822692745225,20.923780758491088,4.1972575034422075,Average
EV_10,149.20596184659354,72.09706214787305,276.7960234880117,High,1,27.87760453911569,45.991289157893064,3.2442222120444018,Poor
EV_14,115.76825411195749,49.80690817557971,872.1743874333191,Medium,0,14.086824253982941,20.364078961910963,5.684924632657868,Average
EV_5,85.52840984858119,77.7682561216425,571.3010406614688,Low,1,17.00432617581374,23.88617665518939,3.5806655490844204,Poor
EV_29,109.20650087352654,34.44816559819847,185.01154310975437,Low,0,20.61148450514415,21.882605356503987,4.990562096897113,Average
EV_1,31.80679124014124,25.81417164933623,298.37547382955546,High,0,4.0595357748070535,5.713012580163092,5.567428881669509,Average
EV_6,149.30097609214448,53.083081626115955,763.8512103187045,Medium,0,23.152995156371983,32.53392010094382,4.589086578835399,Average
EV_13,120.80835598631961,77.98027652511371,293.3475383049705,Medium,0,22.396722710131407,27.537138198643845,4.387106427503393,Average
EV_30,70.59843617771648,76.06694128673823,258.1608282169481,High,0,10.583513899136276,14.71265724205032,4.7984830351337715,Average
EV_20,177.50181326656386,96.4534495107078,522.9992360164732,Low,1,25.841579411109496,35.80901337896712,4.956903207247307,Average
EV_9,113.24265272640368,65.90444638906754,79.48378013272765,High,1,13.984367374106986,21.681606978003686,5.222982449653757,Average
EV_30,7.918405233236992,28.931164647571563,632.4058555766071,Medium,0,1.314167604608708,1.7821403048175086,4.443199680649071,Average
EV_35,86.54885108872395,68.69108956682135,355.5800743503989,Medium,1,10.425647463285188,15.411659935542021,5.615803323633358,Average
EV_9,145.22506307562628,75.82256927233675,36.36371198644232,Low,0,26.629789968256784,26.9525759724785,5.388170066709646,Average
EV_20,41.578400197260635,56.30093101733373,660.8650919718003,High,1,7.972669724616211,14.694615285720806,2.829499064032224,Poor
EV_11,24.16836194951393,31.268904610846946,892.7930415974956,Medium,1,3.4707134744660872,5.951944219230127,4.060582737221967,Average
EV_13,52.03726284804116,87.91716567793664,260.7798641739299,High,0,11.131141076886077,15.48637896055016,3.3601956261434864,Poor
EV_32,173.53471289995616,66.40890919933216,37.418349783415565,Low,0,23.50490497642223,23.798076561766802,7.291963804282875,Good
EV_24,74.58875386207802,24.02741402739972,874.583436178916,Medium,0,9.364827260580725,13.5463270456352,5.506197629128662,Average
EV_1,134.29456221653163,49.40278647543012,870.197144869014,High,0,29.267668591135273,48.32923623184394,2.7787437312747243,Poor
EV_10,41.85955464906071,44.164028808469354,818.5163817367629,Medium,1,6.048468847484747,10.17463600782835,4.1141083196346315,Average
EV_9,104.77793453970523,83.45032159502625,80.11037869004456,Low,0,15.355942499012777,15.765999288592264,6.645816267131189,Good
EV_37,58.05159607153693,83.92089575502563,141.67507789751562,Medium,1,10.66888186637785,14.765866870341362,3.9314722651427285,Poor
EV_20,168.7354336030138,33.78236223267549,787.1241545968563,Medium,0,33.36513169738732,47.173614571059474,3.5769027906233677,Poor
EV_36,116.36268204685766,76.1306260659166,179.48238933218025,High,0,23.79611492159157,32.28131341982938,3.604645217916684,Poor
EV_29,37.90197103049378,21.774057825496396,8.432929987035266,Low,0,6.133565832286579,6.150807142698095,6.162113386287676,Good
EV_8,150.47730207270456,37.59571153951329,344.03222071617614,Low,0,23.334865073130747,26.01084689020458,5.785175035164763,Average
EV_11,53.12879823817296,24.70792858325538,729.8923679040616,Medium,1,9.297700983506434,15.277442225237918,3.4775977192311442,Poor
EV_40,38.80770321488187,69.8821496220142,663.879180863004,Medium,0,6.00963208061865,8.2202645895347,4.720979816670176,Average
EV_39,144.24125638269672,90.76070831703576,148.2288945172477,Low,0,26.3765527993662,27.679808553574823,5.211064090400585,Average
EV_10,161.51234005963508,66.65689604754701,470.8233534801308,Low,1,32.87489985023805,44.88050158978716,3.5987195850856586,Poor
EV_19,11.95947937403578,99.48564933856429,529.0450691610637,Low,1,2.508004673930013,3.4813388676664743,3.435310329916882,Poor
EV_8,58.760073333758946,97.73115849592098,435.428354159018,Low,1,11.034071408293126,14.909992965960443,3.940985986238113,Poor
EV_40,135.36842394123312,71.90453343184038,103.18023333044466,Low,0,22.112980370386325,22.87352119513566,5.9181278993468185,Average
EV_16,66.80724159152089,27.30054922936265,67.19420459600389,Low,1,10.364120655806424,12.503583185747791,5.343047716727404,Average
EV_1,157.4965511900404,61.465843499308775,265.74106508566376,High,0,31.356059905058437,43.69099625439378,3.604782785748489,Poor
EV_13,13.930509893293262,56.187853228397195,214.63001268753084,High,0,2.7329891530916615,3.748500887841251,3.7162882736612595,Poor
EV_18,79.9111421503249,51.29134523472538,569.8918757215398,High,1,10.482757684785017,18.840886426881898,4.241368497201324,Average
EV_12,86.04103373712641,34.365723226709704,500.2831442758012,High,0,11.33370660292637,16.926371065339957,5.08325342774224,Average
EV_16,8.815716736453478,92.71148016408904,471.15343071414685,Low,1,1.1439324130528914,1.5618342018956384,5.644463878274413,Average
EV_34,6.943096501861499,95.81112906063017,154.40440777244845,Low,0,1.4521470054968257,1.5268863049575832,4.54722560502262,Average
