inverter_id,timestamp,temperature_c,heatsink_temp_c,voltage_v,current_a,vibration_mms,dc_input_kw,ac_output_kw,pf_power_factor,frequency_hz,mppt_voltage_v,mppt_current_a,total_energy_generated_kwh,lifetime_hours,ambient_temperature_c,fan_speed_rpm,fault_code,string_count_active,grid_status,failure_within_7_days
INV_337,2025-09-14 22:40:02.021665,70.08499177967214,70.77690995480103,438.3060998528378,8.448343103192029,0.407171316423106,41.08609103811944,59.943509656678216,0.87,50.459263855417184,496.551373274248,2.8970132580801273,70478.3537230904,7533,20.934417519544304,1289,PH_IMB,1,Disconnected,0
INV_365,2025-11-16 15:18:13.857833,50.40032097078541,86.41255149593017,492.30155620662373,11.113104724395692,0.7792300086338079,12.645276739221954,32.27994531933389,0.99,49.53089644729104,508.60811562614344,4.147739976634501,21538.452174115086,8135,26.366640903910135,2469,LOW_VOLT,16,Connected,0
INV_157,2025-09-22 09:58:43.390813,34.84909614511845,33.664403937177646,394.85223727330026,10.925491541461712,2.595844329459975,11.223344969679655,56.162292562982806,0.88,50.01506841828406,359.1493710483814,7.891074317319985,26669.2145822188,15244,24.273467451704594,1118,LOW_VOLT,11,Connected,1
INV_208,2025-10-09 14:04:14.286273,34.51084395897202,65.45112093454304,535.5616577725312,8.967754035847433,2.717486722210853,56.74364372583124,37.5011293189459,0.98,50.11988172390698,332.31605806024123,3.2871718839344073,6073.223195116317,16926,40.13894298184391,3385,OVR_VOLT,5,Connected,0
INV_462,2025-11-05 22:31:11.494312,55.05623026391394,88.259969708836,471.692928436992,10.96294217508794,2.7920681696930383,51.170938520508315,10.730661019114976,0.97,50.181854058419674,497.57809589534224,11.915035742802713,68316.16578979707,15179,34.11168336847567,3365,NONE,7,Disconnected,0
INV_264,2025-10-30 00:17:23.681442,69.58944913833545,37.32962768089532,373.5527884226321,6.570003189745677,2.011700866829023,59.28604335423118,35.33004026254146,1.0,50.11492106933835,539.7954091624714,2.272310580677537,39485.99111962871,5402,23.458429694819507,3091,NONE,5,Disconnected,1
INV_55,2025-09-08 06:55:51.424845,55.90836188244206,56.285262053311726,517.2297641342768,10.111840309970503,1.509914258151038,60.61708617455187,56.09164114972381,0.97,49.991219336418254,413.86826278584965,10.585096657880495,44637.52330276436,14082,23.062757910264427,2781,LOW_VOLT,1,Disconnected,0
INV_269,2025-10-30 19:53:01.577690,52.772933974857104,81.03065917364734,483.53884593768566,8.87571900008679,0.7979204578731072,43.90942722317591,8.741629285155309,0.81,49.55587817362352,549.1919763803851,4.750956085688018,20796.483853309728,11759,29.345411154773174,3304,OVR_VOLT,12,Connected,1
INV_13,2025-09-06 15:51:13.050299,50.812089472783825,57.792721442799646,422.40126221839705,12.93093700400385,2.8819747108317104,13.818868728722371,24.54587110249449,0.87,50.165185045024096,561.4043923171824,7.969671932570524,63339.799266203736,11104,24.280387517523085,2654,OVR_TEMP,4,Disconnected,0
INV_4,2025-09-29 05:47:36.545691,71.60031243873541,31.669229437680166,412.13983246746926,11.782031810717697,1.7284630575172046,61.39676725837194,34.203625011502936,0.88,50.483765206874565,467.41355333817467,5.0111361544043955,31102.088517294935,16716,22.007853605244165,2804,PH_IMB,16,Connected,0
