panel_id,string_id,timestamp,irradiation_wm2,temperature_c,panel_voltage_v,panel_current_a,panel_efficiency_pct,baseline_efficiency_pct,degradation_pct,performance_ratio,soiling_factor_pct,shading_loss_pct,module_age_years,installation_angle_deg,panel_serial_number,manufacturer,underperformance_flag,hotspot_detected_flag,last_cleaned_date,region
PNL_1209,STR_138,2025-09-01 23:52:40.894193,625.1591125814166,41.603872573832874,36.08969215171966,8.48849945747293,18.09810437688565,18.725107783773545,0.6270034068878952,0.82,5.475616224285978,2.080284667598339,9.97371757811208,22,9323887d-59ee-46c5-8be0-eaa5580145e4,REC,0,0,2025-10-15,South
PNL_1570,STR_29,2025-08-23 07:19:28.775095,454.7119136623256,25.078858961141403,36.746428992229696,8.83070808554703,17.946724035039153,18.84245741330598,0.8957333782668269,0.7,8.265146978677542,0.33979248637004744,5.659178722712997,23,dd56fd6e-4fe5-4892-87f6-b83566025852,Jinko,0,0,2025-11-20,West
PNL_764,STR_82,2025-07-28 06:39:15.799868,316.2308533043181,24.53028829388752,29.255549652430574,9.742043835015256,16.12717223891169,17.668214912311054,1.541042673399365,0.8,9.423137408066886,7.364700731526978,11.501410265067094,27,b2d6cd5d-f200-42e9-afe5-8ac4707e18a5,REC,1,1,2025-10-31,Central
PNL_105,STR_81,2025-08-12 01:21:36.296630,793.9399192687953,38.68172507727436,29.819171441554527,10.258916595143786,18.829628311749364,19.36910104115324,0.5394727294038771,0.69,11.029993076950765,0.5211842647531528,4.465382910456468,31,65093f61-1ada-4818-87c9-cbaff94400fe,Adani,0,0,2025-10-01,South
PNL_1017,STR_109,2025-06-06 12:48:19.713641,452.91662695720527,43.28963686334791,36.44739244357497,6.115463489022439,18.170624587780285,19.824602116543783,1.6539775287634972,0.65,8.221659702644015,6.907641915572425,3.8269748436711932,10,a4848e81-fb17-4291-9d24-ef4f2828dae9,REC,1,0,2025-09-30,South
PNL_1700,STR_168,2025-11-18 20:11:32.522827,476.02681486130916,35.035431232007255,38.12975722160705,8.090196010189011,18.833510738196555,19.209366750493228,0.3758560122966721,0.92,14.832333252500687,8.281728613244736,12.819298267564749,32,9e6c8df2-7e29-4665-81c6-63899add770c,Longi,0,0,2025-10-25,Central
PNL_443,STR_153,2025-09-12 20:37:33.905152,528.1308810784128,20.560983794223844,38.70725015183163,10.725773991609818,15.025032314882088,16.22331263219013,1.1982803173080416,0.78,13.790204773856734,5.354028128106401,12.450930195129843,26,1d7ed292-8724-4d46-8677-ec23d38f6ceb,REC,0,0,2025-10-05,Central
PNL_513,STR_188,2025-09-29 04:09:58.256418,266.0240822298324,42.236177337165444,29.92574149315416,5.372548867010753,17.88467203143659,19.568689487048445,1.684017455611855,0.66,14.862646433462213,6.616117790941384,11.889998989858627,28,1ec3f708-f47f-434d-bb46-ef3ca4ce7abe,Adani,1,1,2025-10-24,West
PNL_327,STR_245,2025-11-18 04:00:31.387941,540.9234613049643,51.37307043904748,38.877885984809524,6.5978444441251884,15.235555311855844,16.63563700850921,1.4000816966533656,0.76,3.483981129914841,0.16404557932164887,10.219772036221046,35,35f5a33b-e5c8-4d68-9623-d7ce851dddb3,REC,1,0,2025-10-29,Central
PNL_1882,STR_77,2025-07-07 20:03:11.993414,265.357300472975,30.564420112880793,29.217059208698792,11.918401210969183,18.330581919207297,18.687555842743514,0.35697392353621527,0.73,11.074857283672266,8.479599646028777,9.193368258504508,34,3817ed14-f3b9-4cbc-8515-dad42ba6f1f4,Adani,0,1,2025-11-07,West
PNL_1830,STR_183,2025-05-30 02:14:27.831617,957.6455719973972,25.28575234815,35.34337941626415,11.752057143704166,17.440751797619953,18.22652048373876,0.7857686861188085,0.93,4.606025930436615,9.450869218132238,11.430302622457221,14,f0d0642d-9357-4a23-b1f8-ae557c4dab6b,REC,0,0,2025-11-14,South
PNL_1283,STR_284,2025-08-18 21:10:12.690306,631.5617828310403,44.261194289041185,28.508234580285055,8.53738336253682,14.415386707802618,16.0842856005821,1.668898892779482,0.66,13.47823777795691,0.07399575657349278,5.147452583464122,10,98e550e3-a489-4690-a97d-accd274d7628,Longi,1,1,2025-11-19,South
PNL_55,STR_4,2025-09-06 10:48:33.509367,431.86964573410313,42.51852588672061,38.968091154399076,8.927523400219872,14.641134787103873,16.28716229688067,1.6460275097767978,0.78,12.046203717235453,9.771144645077637,11.788019622065491,28,bf6d77ea-0927-4ae4-916f-b7284b1ca084,Jinko,1,0,2025-10-18,West
PNL_1667,STR_42,2025-10-01 18:50:26.876358,317.8964766769127,39.98690772758836,30.611632119503057,6.3307706336838105,15.368757052535237,16.84744040247025,1.4786833499350143,0.79,1.4248324083048438,4.757757450264886,4.453381842990042,17,7e67f2b2-cc31-4731-91af-8a73e6f6c8fe,Canadian,1,0,2025-11-02,North
PNL_90,STR_116,2025-06-12 23:40:45.601226,479.05691772671133,32.92907396888931,33.691503121426244,11.576230931179941,14.408755314443747,16.106483875256345,1.6977285608125978,0.72,12.71776443493089,3.7668863878025993,11.035728602388465,35,c055b55a-c4f5-4eda-84fd-0bbda023132a,Canadian,1,0,2025-10-28,North
PNL_1790,STR_236,2025-09-01 08:06:28.446365,504.089671095855,30.57538674692499,39.341692273578076,5.75306578034469,16.955724169688963,17.45801336137721,0.5022891916882466,0.76,7.880112168535545,0.31853650516480037,10.247093405150018,19,01340c3c-6406-400b-a33d-93a1e7f3de77,Longi,0,0,2025-10-19,Central
PNL_1802,STR_257,2025-07-15 00:02:54.788680,273.5070424192089,36.404410103160956,38.179599820271825,11.35096064174313,19.807632263565495,20.788399282798277,0.9807670192327812,0.92,12.654299289211407,7.591610336003114,10.00706198576984,24,13490657-2818-4151-bf54-61960ecace18,Longi,0,1,2025-11-20,East
PNL_1962,STR_129,2025-11-08 20:26:46.294472,1088.4722609225346,22.403390220215915,36.319533263982805,7.838095609932065,20.10994841788956,20.358882268391387,0.2489338505018274,0.8,6.1498890945155384,4.757845150123633,6.194059773145905,20,d9492a3d-7607-43da-9aed-aa11bf67e3b7,Waaree,0,0,2025-11-12,West
PNL_808,STR_121,2025-06-28 10:53:47.077286,1049.7669753203213,23.93598173982774,28.747654465303157,6.3009886281090335,18.385124285890875,18.955056694677225,0.5699324087863515,0.8,9.167408567690199,5.289258293373191,5.236120378523199,12,7b50d8ea-f512-4f33-af9c-3a3e121dceb1,Canadian,0,0,2025-11-18,South
PNL_486,STR_275,2025-07-18 17:59:02.023939,552.3400967865139,21.106607823641035,29.39133644658369,11.719827288935445,16.16370029842739,17.32159211415948,1.1578918157320888,0.91,13.79467569971131,0.5240399553419894,6.22442987285385,30,2f923698-52a1-4ec2-a297-ffa3118f58e0,Adani,0,0,2025-11-14,Central
PNL_763,STR_260,2025-06-22 16:44:13.462902,1009.465924242923,25.67177347165776,28.211668119695442,6.3092302569920165,15.726044378354699,17.2882072928195,1.5621629144648013,0.8,1.3555916461307012,1.7785412312412663,14.829433976836354,27,569859ea-527b-4f14-9d9c-8f1246c59398,Waaree,1,0,2025-11-08,West
PNL_593,STR_101,2025-10-24 06:42:20.819895,486.70355295400304,23.197056418307056,33.39580604147259,11.77711761035766,18.897710698294322,20.25995385321044,1.3622431549161198,0.92,5.049006081214512,5.6170901763001515,7.99553950978611,29,00f20caf-c22d-458f-983b-1a341211f75b,Adani,1,0,2025-11-13,North
PNL_348,STR_287,2025-05-15 06:29:47.990640,246.90716872029816,50.718362188449106,38.783869856601996,10.586939483430015,16.735410930546323,18.454390198442802,1.7189792678964788,0.66,1.9509903729058624,8.430909552826096,10.020314288687734,29,9f577606-9e78-448f-922c-e6e8804eaaa1,REC,1,0,2025-11-12,Central
PNL_1065,STR_186,2025-10-10 02:44:37.538542,233.44887199266776,39.747125491819446,39.04517274008353,6.739713104856339,15.949346555530669,17.024378032702508,1.0750314771718392,0.74,11.596891599350405,0.6938129466362297,5.498470595071751,13,6608b3f4-9dec-4163-9f7e-e7b275267af5,Canadian,0,1,2025-10-01,East
PNL_267,STR_33,2025-09-12 12:09:40.826835,852.3651575027221,30.501996344739865,35.393874096693985,5.435517856186004,18.576655960138744,19.23282518396961,0.6561692238308637,0.73,10.639613882972263,6.521323657842267,14.372959709432743,15,0e961c32-69af-46ae-85d1-d099e87afd84,Adani,0,0,2025-10-18,West
PNL_1460,STR_286,2025-10-23 17:54:17.539431,816.0896603555964,30.118159018956874,31.35449326679384,9.845759331308708,16.357390242766527,17.675042096054753,1.3176518532882255,0.93,10.197264916850582,6.083615238462901,3.0740105565654847,10,0775bfc3-9bcb-4f43-8453-4873797bf3ae,Canadian,1,0,2025-10-14,East
PNL_1487,STR_272,2025-08-17 18:39:31.477057,605.5758180704483,45.517618199745584,38.3197471365188,5.671386580909558,16.515707239382813,17.73437449159526,1.218667252212449,0.94,10.946054209228326,0.38710781777272385,11.39985361068642,11,0f34f0fd-2f65-4901-8313-057308ba94ba,Jinko,1,1,2025-10-01,East
