Order_ID,Warehouse,Zone,Aisle,Bin,Order_Timestamp,Shift,Picker_ID,SKU,SKU_Weight_KG,SKU_Cube_M3,SKU_Class,Pick_Qty,Travel_Distance_M,Travel_Time_Sec,Pick_Time_Sec,Pack_Time_Sec,Heatmap_Level,Slotting_Score,Equipment_Type,Picker_Productivity_Items_Hour,Congestion_Factor,Delay_Reason,Delay_Minutes
ORD-500000,WH-North,A,48,36,2023-05-31 20:18:00,Shift-2,PICK-058,SKU-10125,6.521195271668594,1.693633758738833,C,19,59.24957781221229,39.13091310649027,150.79096987815055,50.89082192827698,3,0.3796924081672669,Manual,45.47299726998143,0.9410198368331972,Location Error,10.832754893631684
ORD-500001,WH-South,A,44,95,2023-08-14 20:43:00,Shift-2,PICK-023,SKU-10279,11.977731507654296,0.8489087260669792,A,35,95.17860838677488,104.35214942892632,158.95487614366604,66.18027581619893,3,0.7998552559473152,Manual,52.57717157810077,2.0207387857199555,None,0.0
ORD-500002,WH-West,A,2,12,2023-08-25 06:08:00,Shift-1,PICK-060,SKU-10111,2.586075051359266,2.8551797044473344,B,22,118.36222897387297,96.97433196695269,47.468685735728556,43.59226928453374,2,0.914298806560499,Pallet Jack,48.57128118794647,0.5312641501306934,None,0.0
ORD-500003,WH-North,E,13,92,2023-06-02 05:57:00,Shift-3,PICK-108,SKU-10279,11.977731507654296,0.8489087260669792,A,12,16.15456200914045,17.761859220793752,164.0029826956968,106.75845814406411,4,0.6005168604336534,Manual,32.940841492393666,1.5156022736895243,Location Error,8.13021645199196
ORD-500004,WH-South,D,38,36,2023-05-02 13:01:00,Shift-1,PICK-041,SKU-10003,9.060145566116141,1.948546714344799,A,1,78.33097149397076,78.62350693976818,82.28729824671625,45.31284236092348,3,0.7190459051842455,Pallet Jack,23.088622017873742,1.1046436179904136,None,0.0
ORD-500005,WH-West,C,18,20,2023-09-03 21:04:00,Shift-2,PICK-087,SKU-10110,4.4883215031237675,1.0260095490122032,C,33,71.6834917853603,77.11126901021437,154.64474564960693,103.87282417802851,4,0.15467214088323622,Manual,28.87947751831282,2.1239017316299145,Equipment Delay,8.604696809708036
ORD-500006,WH-North,A,25,13,2023-03-02 10:39:00,Shift-1,PICK-089,SKU-10183,13.18462243003852,1.9199184322437841,B,25,101.00574335579097,70.16564690263873,131.1514353367083,43.57523940914608,1,0.3609738969400268,AMR,25.51881233249788,1.503392133677448,None,0.0
ORD-500007,WH-East,A,47,59,2023-11-07 16:46:00,Shift-2,PICK-032,SKU-10274,7.76786750314188,2.600854755365561,A,12,106.65931276702287,76.96699314551695,149.04978365783197,84.17225350462532,2,0.8491956515653193,Manual,37.02848354812157,1.6768701596803492,None,0.0
ORD-500008,WH-West,A,36,38,2023-12-31 14:31:00,Shift-2,PICK-148,SKU-10185,9.96776388130585,2.713358230423868,C,10,119.93211745441266,96.35847322327908,95.71361889301335,47.84975993308669,2,0.7310236714582816,Manual,42.168264489085125,0.7048883839369896,None,0.0
ORD-500009,WH-South,A,3,85,2023-08-11 19:38:00,Shift-2,PICK-075,SKU-10116,12.094346738106895,0.9503112379243871,C,35,102.03612478582112,122.99345897995141,115.40318055712848,39.150927915208825,4,0.07695320162920916,Manual,35.7097240325873,0.704963705821374,Congestion,7.044645405289765
ORD-500010,WH-North,B,7,49,2023-01-04 21:24:00,Shift-2,PICK-117,SKU-10142,7.559277887207305,1.185385307692749,B,13,108.02766356479965,83.56807707705804,57.273515960581406,17.562082063436492,5,0.021269410850387138,Pallet Jack,52.94513562432379,1.979168085631581,None,0.0
ORD-500011,WH-East,B,24,46,2023-02-08 13:51:00,Shift-1,PICK-069,SKU-10107,11.38215685043712,0.13142918929286523,C,29,57.20274592897043,48.3171906004702,120.40087411493921,106.73609698956557,3,0.7682734138645182,Manual,55.504515720937015,2.172941897638802,Stockout,3.7675858101023145
ORD-500012,WH-North,E,41,22,2023-05-22 23:29:00,Shift-3,PICK-063,SKU-10273,13.715960177835775,1.9040514306608332,B,4,76.85639611944396,75.21575129885889,165.65425632920548,19.735571108133932,2,0.39163014054035605,AMR,54.417683144342384,0.6860949177544957,Stockout,11.416867663571926
ORD-500013,WH-South,D,25,35,2023-10-22 23:45:00,Shift-3,PICK-057,SKU-10285,0.7319456521917829,0.7964222944567598,A,24,79.4081958671243,85.05343410642664,178.58698018191626,39.32552864526156,4,0.6496466489923685,Pallet Jack,34.52725355128356,2.1026440160297137,Congestion,5.527779345122806
ORD-500014,WH-East,A,15,5,2023-08-29 02:55:00,Shift-3,PICK-103,SKU-10161,9.558126292784976,1.9827098761365844,B,6,81.12668191459608,83.3728105937422,102.92165866822275,77.71377760518581,3,0.2602333679515273,Manual,62.36068399411463,1.392553551462456,None,0.0
ORD-500015,WH-East,A,14,73,2023-08-15 05:12:00,Shift-3,PICK-055,SKU-10161,9.558126292784976,1.9827098761365844,B,25,75.90905182297017,86.9330820378319,160.39373802086087,42.88800447181414,5,0.8887480798689772,Forklift,49.13011705034442,0.720175366180767,None,0.0
ORD-500016,WH-West,D,42,59,2023-09-18 10:58:00,Shift-1,PICK-068,SKU-10073,12.268829141131546,2.0807196429074346,B,34,54.13229428629297,53.713168978057894,135.74721819017358,67.06695218327093,4,0.22018320194981134,Manual,41.44300931515192,0.6377785670430015,None,0.0
ORD-500017,WH-South,B,48,72,2023-08-12 18:57:00,Shift-2,PICK-068,SKU-10275,7.6224411613705545,2.853609808607162,A,3,86.19169601870168,68.81102417327077,62.72452322710741,107.25614856729159,5,0.6584518346584255,Forklift,36.738801120006386,1.855624236731778,None,0.0
ORD-500018,WH-West,E,26,47,2023-12-11 20:41:00,Shift-2,PICK-036,SKU-10112,13.959525254670082,2.8567607261189125,B,36,94.03524715355233,101.45308216314754,160.93932147182855,106.54357041324936,2,0.8258167505647627,Manual,49.10271282744148,0.5497203811587505,Congestion,15.087472385904995
ORD-500019,WH-West,A,49,7,2023-07-25 12:28:00,Shift-1,PICK-040,SKU-10056,1.5096890303684085,0.17688280057070327,A,12,45.13900398336584,34.89567421877475,176.98978848438776,81.34042033675019,3,0.6340057030996114,Forklift,17.071123639726085,0.9416660878090717,None,0.0
ORD-500020,WH-South,D,39,9,2023-03-15 08:31:00,Shift-1,PICK-098,SKU-10197,13.47723184729814,0.32543044719845604,B,34,81.42529877906455,52.68123335450254,36.40155647850868,113.40899115982737,3,0.0678370591051719,Pallet Jack,27.84711886111833,1.6694057279113828,None,0.0
ORD-500021,WH-West,E,17,71,2023-07-12 21:25:00,Shift-2,PICK-030,SKU-10005,2.5087189009757993,2.9299710304413504,B,18,117.21634176362667,74.41824123887699,139.94429307886796,28.659055213716357,1,0.02458691645880151,Manual,54.6122517283276,1.7890474330793384,None,0.0
ORD-500022,WH-East,C,8,38,2023-02-27 22:25:00,Shift-3,PICK-041,SKU-10222,1.5863865638557686,2.9127517536623495,B,34,119.69807251655968,104.91133940062224,92.22192389274808,32.18050122512527,2,0.6936822257814886,Manual,33.179291824550276,1.85117623287488,None,0.0
ORD-500023,WH-West,A,47,93,2023-01-27 02:16:00,Shift-3,PICK-129,SKU-10134,14.155063617905283,0.34390973773349254,B,28,110.50007364952093,74.36635074154611,174.32327556323338,94.8098782360002,3,0.31195199049513045,Pallet Jack,54.093870747235044,1.2519078960475474,Stockout,15.889965015848496
ORD-500024,WH-South,E,7,81,2023-10-07 11:17:00,Shift-1,PICK-130,SKU-10152,2.344444106950102,1.3302438268162313,B,15,72.0394446079456,77.67922088167207,52.59219988420387,24.572271492650124,3,0.45369363460528267,Manual,43.47487798582564,0.7612186648738916,Stockout,16.589376559358577
ORD-500025,WH-South,B,24,98,2023-02-15 14:24:00,Shift-2,PICK-139,SKU-10082,5.097290767819208,1.9239342556616637,A,30,28.144508181267796,20.871713183190227,88.84894318391403,36.05509630353535,3,0.06420893707513409,Manual,27.631298270873724,1.335710729460443,Equipment Delay,9.28352238530882
ORD-500026,WH-North,E,21,63,2023-03-13 20:17:00,Shift-2,PICK-029,SKU-10009,10.679474151381473,0.8854135286600152,B,30,65.39357764529797,51.08807643295807,66.66601259348852,87.97309804328697,1,0.7798509888933498,Manual,30.058185934787115,1.962208075221648,Stockout,17.786601492274343
ORD-500027,WH-East,C,16,8,2023-06-09 14:15:00,Shift-2,PICK-146,SKU-10123,1.828768483009616,1.5338188836374864,B,22,51.331739602708154,36.13273081780217,170.59800067718183,22.603708575365857,1,0.8825334858196,Forklift,26.797811186624614,1.408211750159957,Equipment Delay,17.63946218103657
ORD-500028,WH-North,A,47,63,2023-03-31 13:57:00,Shift-1,PICK-137,SKU-10035,12.164280752123625,0.21811352672501338,B,15,32.585671137202326,36.87604095840012,121.82883992698187,89.17995128112462,1,0.9362122462436898,Pallet Jack,30.3479901498805,0.5536964462035915,None,0.0
ORD-500029,WH-South,B,43,61,2023-06-27 19:46:00,Shift-2,PICK-043,SKU-10281,5.202328321402731,2.9420944683278836,B,7,73.06515252215564,57.17234469021706,145.41320854701792,65.4949023021434,3,0.16399948098949724,Pallet Jack,48.16528043702948,0.5692819803572037,None,0.0
ORD-500030,WH-East,E,39,55,2023-01-25 12:50:00,Shift-1,PICK-139,SKU-10108,3.586212849276013,2.7256077316158644,A,19,50.374058135966216,53.266744234455665,146.35176114279665,84.164316427592,4,0.5553635509376312,Manual,70.75496194464996,1.3469327179703363,None,0.0
ORD-500031,WH-South,C,26,86,2023-05-11 09:50:00,Shift-1,PICK-113,SKU-10191,13.478793217709235,1.8983845336244565,B,35,58.93197781010353,61.20496976871538,154.47238500430936,33.290300340716634,4,0.4159073661469408,Pallet Jack,31.53579341221132,2.133326937527861,None,0.0
